Committee ID,Committee FEC Name,Associated candidate and district,112th-118th Congress: Number of Life at Conception cosponsorships,Life at Conception 118th Congress cosponsor,Life at Conception 117th Congress cosponsor,Life at Conception 116th Congress cosponsor,Life at Conception 115th Congress cosponsor,Life at Conception 114th Congress cosponsor,Life at Conception 113th Congress cosponsor,Life at Conception 112th Congress cosponsor,Voted against certifying 2020 election,RSC Member,Voted to repeal ACA (American Health Care Act),PACT Act,Mifepristone amicus brief,Election overturn amicus brief,Voted against Bipartisan Infrastructure Law,Voted against the PRO Act,Voted for Tax Cuts and Jobs Act,Voted against Inflation Reduction Act
C00765644,BIG IDEAS CREATE EXCELLENCE - BICE PAC,Stephanie Bice (OK-05),0,,,,,,,,1,1,,,1,,1,1,,1
C00404392,CONSERVATIVE OPPORTUNITY LEADERSHIP AND ENTERPRISE PAC,Tom Cole (OK-04),6,1,,1,1,1,1,1,1,1,1,,,,1,1,1,1
C00379735,COLE FOR CONGRESS,Tom Cole (OK-04),6,1,,1,1,1,1,1,1,1,1,,,,1,1,1,1
C00636092,HERN FOR CONGRESS,Kevin Hern (OK-01),1,,,1,,,,,1,1,,1,1,1,1,1,,1
C00692715,HELP ELECT REPUBLICANS NOW,Kevin Hern (OK-01),1,,,1,,,,,1,1,,1,1,1,1,1,,1
C00466482,FAMILIES FOR JAMES LANKFORD,James Lankford (former OK-05),1,,,,,,,1,,,,,,,,,,
C00492058,LEADERSHIP AND ACCOUNTABILITY ARE NATIONAL KEYS PAC,James Lankford (former OK-05),1,,,,,,,1,,,,,,,,,,
C00489906,FUNDING DEVELOPING LEADERSHIP PAC,Frank Lucas (OK-03),0,,,,,,,,1,,1,,,,1,1,1,1
C00287912,LUCAS FOR CONGRESS,Frank Lucas (OK-03),0,,,,,,,,1,,1,,,,1,1,1,1
C00498345,MULLIN FOR CONGRESS,"Markwayne Mullin (former OK-02, now OK senator)",5,,1,1,1,1,1,,1,,1,,,1,1,1,1,1
C00567545,BOOTS POLITICAL ACTION COMMITTEE,"Markwayne Mullin (former OK-02, now OK senator)",5,,1,1,1,1,1,,1,,1,,,1,1,1,1,1
C00558510,STEVE RUSSELL FOR CONGRESS,Steve Russell (former OK-05),2,,,,1,1,,,,,1,,,,,,1,
C00569293,DEEDS NOT WORDS POLITICAL ACTION COMMITTEE,Steve Russell (former OK-05),2,,,,1,1,,,,,1,,,,,,1,
C00725465,CLIFF BENTZ FOR CONGRESS,Cliff Bentz (OR-02),2,1,1,,,,,,1,1,,1,1,,1,1,,1
C00761528,OREGON FRONTIER PAC,Cliff Bentz (OR-02),2,1,1,,,,,,1,1,,1,1,,1,1,,1
C00459123,NEW PIONEERS PAC,Greg Walden (OR),0,,,,,,,,,,1,,,,,,1,
C00333427,WALDEN FOR CONGRESS,Greg Walden (OR),0,,,,,,,,,,1,,,,,,1,
C00376004,LOU BARLETTA FOR CONGRESS 2002,Lou Barletta (PA-11),4,,,,1,1,1,1,,,1,,,,,,1,
C00564369,LEADERS ONLY UNITE POLITICAL ACTION COMMITTEE (AKA LOU PAC),Lou Barletta (PA-11),4,,,,1,1,1,1,,,1,,,,,,1,
C00580464,RACPAC,Ryan Costello (former PA-06),,,,,,,,,,,,,,,,,1,
C00465633,RYAN COSTELLO FOR CONGRESS,Ryan Costello (former PA-06),,,,,,,,,,,,,,,,,1,
C00386847,CHARLIE DENT FOR CONGRESS,Charles Dent (former PA-15),,,,,,,,,,,,,,,,,1,
C00647354,TEAM AMERICA - BRINGING AMERICA TOGETHER PAC,Brian Fitzpatrick (PA-01),,,,,,,,,,,,,,,,,1,1
C00607416,BRIAN FITZPATRICK FOR ALL OF US,Brian Fitzpatrick (PA-01),,,,,,,,,,,,,,,,,1,1
C00691501,RE-JOYCE PAC,John Joyce (PA-13),3,1,1,1,,,,,1,,,,,1,1,1,,1
C00674259,DR JOHN JOYCE FOR CONGRESS,John Joyce (PA-13),3,1,1,1,,,,,1,,,,,1,1,1,,1
C00697052,FRED KELLER FOR CONGRESS,Fred Keller (former PA-12),2,,1,1,,,,,1,,,,,1,1,1,,1
C00709709,FREEDOM RINGS EVERY DAY PAC,Fred Keller (former PA-12),2,,1,1,,,,,1,,,,,1,1,1,,1
C00474189,MIKE KELLY FOR CONGRESS,Mike Kelly (PA-16),6,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1
C00475145,MARINO FOR CONGRESS,Tom Marino (former PA-10),4,,,,1,1,1,1,,,1,,,,,,1,
C00593475,MOVING AMERICA'S REPUBLICANS INTO NUMBER ONE PAC,Tom Marino (former PA-10),4,,,,1,1,1,1,,,1,,,,,,1,
C00526046,PATRIOTS LEADING A MAJORITY,Patrick Meehan (former PA-07),,,,,,,,,,,,,,,,,1,
C00466870,PAT MEEHAN FOR CONGRESS,Patrick Meehan (former PA-07),,,,,,,,,,,,,,,,,1,
C00372201,TIM MURPHY FOR CONGRESS,Tim Murphy (former PA-18),4,,,,1,1,1,1,,,1,,,,,,,
C00400457,COME BACK POLITICAL ACTION COMMITTEE,Tim Murphy (former PA-18),4,,,,1,1,1,1,,,1,,,,,,,
C00708172,DAN-PAFIRST PAC,Daniel Meuser (PA-09),2,,1,1,,,,,1,1,,,,1,1,1,,1
C00654723,MEUSER FOR CONGRESS,Daniel Meuser (PA-09),2,,1,1,,,,,1,1,,,,1,1,1,,1
C00510164,PATRIOTS FOR PERRY,Scott Perry (PA-10),4,1,1,1,1,,,,1,,1,1,,1,1,1,1,1
C00528075,FIRST CAPITAL PAC,Scott Perry (PA-10),4,1,1,1,1,,,,1,,1,1,,1,1,1,1,1
C00310136,FRIENDS OF JOE PITTS,Joseph Pitts (former PA-16),2,,,,,,1,1,,,,,,,,,,
C00402172,PITTSPAC,Joseph Pitts (former PA-16),2,,,,,,1,1,,,,,,,,,,
C00689208,RVFPAC,Guy Reschenthaler (PA-14),3,1,1,1,,,,,1,1,,,1,1,1,1,,1
C00657833,GUY FOR CONGRESS,Guy Reschenthaler (PA-14),3,1,1,1,,,,,1,1,,,1,1,1,1,,1
C00497115,ROTHFUS FOR CONGRESS,Keith Rothfus (former PA-12),3,,,,1,1,1,,,,1,,,,,,1,
C00467530,CITIZENS FOR ROTHFUS INC.,Keith Rothfus (former PA-12),3,,,,1,1,1,,,,1,,,,,,1,
C00412288,BILL PAC,Bill Shuster (former PA-09),3,,,,1,1,1,,,,1,,,,,,1,
C00364935,BILL SHUSTER FOR CONGRESS,Bill Shuster (former PA-09),3,,,,1,1,1,,,,1,,,,,,1,
C00599464,SMUCKER FOR CONGRESS,Lloyd Smucker (PA-11),4,1,1,1,1,,,,1,1,1,1,1,,1,1,1,1
C00656777,JAM PAC,Lloyd Smucker (PA-11),4,1,1,1,1,,,,1,1,1,1,1,,1,1,1,1
C00526715,GREATER TOMORROW POLITICAL ACTION COMMITTEE,Glenn Thompson (PA-15),6,1,1,1,1,1,1,,1,,1,,1,1,1,1,1,1
C00444620,FRIENDS OF GLENN THOMPSON,Glenn Thompson (PA-15),6,1,1,1,1,1,1,,1,,1,,1,1,1,1,1,1
C00460550,JEFF DUNCAN FOR CONGRESS,Jeff Duncan (SC-03),7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C00516724,"JOBS, ENERGY AND OUR FOUNDING FATHERS PAC-JEFF PAC",Jeff Duncan (SC-03),7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C00820209,BOOTSTRAP PRIORITIES PAC,Russell Fry (SC-07),0,,,,,,,,,1,,,1,,,,,
C00786657,FRY FOR CONGRESS,Russell Fry (SC-07),0,,,,,,,,,1,,,1,,,,,
C00462523,TREY GOWDY FOR CONGRESS,Trey Gowdy (former SC-04),4,,,,1,1,1,1,,,1,,,,,,1,
C00548206,THEMIS PAC,Trey Gowdy (former SC-04),4,,,,1,1,1,1,,,1,,,,,,1,
C00763326,MUST ACT TO CREATE EXCELLENCE PAC,Nancy Mace (SC-01),1,,1,,,,,,,,,,,,1,1,,1
C00710103,NANCY MACE FOR CONGRESS,Nancy Mace (SC-01),1,,1,,,,,,,,,,,,1,1,,1
C00471292,MULVANEY FOR CONGRESS,Mick Mulvaney (former SC-05),3,,,,,1,1,1,,,,,,,,,,
C00502591,MARKETPLACE IDEAS AND CONSERVATIVE KNOWLEDGE PAC-MICK PAC,Mick Mulvaney (former SC-05),3,,,,,1,1,1,,,,,,,,,,
C00781740,CONSERVATIVE OPPORTUNITY FUND,Ralph Norman (SC-05),3,,1,1,1,,,,1,1,,1,,1,1,1,1,1
C00633610,RALPH NORMAN FOR CONGRESS,Ralph Norman (SC-05),3,,1,1,1,,,,1,1,,1,,1,1,1,1,1
C00506048,TOM RICE FOR CONGRESS,Tom Rice (former SC-07),0,,,,,,,,1,,1,,,1,1,1,1,1
C00566117,REPUBLICANS IN CONGRESS EMPOWERING AMERICA,Tom Rice (former SC-07),0,,,,,,,,1,,1,,,1,1,1,1,1
C00579516,LOWCOUNTRY PALMETTO PAC,Mark Sanford (former SC-01),3,,,,1,1,1,,,,1,,,,,,1,
C00285254,SANFORD FOR CONGRESS,Mark Sanford (former SC-01),3,,,,1,1,1,,,,1,,,,,,1,
C00668491,WILLIAM TIMMONS FOR CONGRESS,William Timmons (SC-04),3,1,1,1,,,,,1,1,,1,1,1,1,1,,1
C00703173,UPSTATE SC PAC,William Timmons (SC-04),3,1,1,1,,,,,1,1,,1,1,1,1,1,,1
C00376756,SPEAK UP AMERICA POLITICAL ACTION COMMITTEE,Joe Wilson (SC-02),6,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
C00368522,JOE WILSON FOR CONGRESS,Joe Wilson (SC-02),6,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
C00628917,FRIENDS OF DUSTY JOHNSON,Dusty Johnson (SD-AL),3,1,1,1,,,,,,1,,1,,,1,1,,1
C00688549,DAKOTA LEADERSHIP PAC,Dusty Johnson (SD-AL),3,1,1,1,,,,,,1,,1,,,1,1,,1
C00493809,KRISTI PAC,Kristi Noem (former ND-AL),4,,,,1,1,1,1,,,1,,,,,,1,
C00476853,KRISTI FOR CONGRESS,Kristi Noem (former ND-AL),4,,,,1,1,1,1,,,1,,,,,,1,
C00472878,DIANE BLACK FOR CONGRESS,Diane Black (former TN-06),4,,,,1,1,1,1,,,1,,,,,,1,
C00499996,DEFENDING AND INVESTING IN AMERICA'S NEW ENDEAVORS PAC (DIANE PAC),Diane Black (former TN-06),4,,,,1,1,1,1,,,1,,,,,,1,
C00499996,DIANE PAC,Diane Black (former TN-06),4,,,,1,1,1,1,,,1,,,,,,1,
C00409276,MAKING A RESPONSIBLE STAND FOR HOUSEHOLDS IN AMERICA PAC,"Marsha Blackburn (former TN-07, now TN senator)",1,,,,1,,,,,,1,,,,,,1,
C00376939,"MARSHA BLACKBURN FOR CONGRESS, INC.","Marsha Blackburn (former TN-07, now TN senator)",1,,,,1,,,,,,1,,,,,,1,
C00750539,THE VOLUNTEER PAC,"Marsha Blackburn (former TN-07, now TN senator)",1,,,,1,,,,,,1,,,,,,1,
C00376939,MARSHA FOR SENATE,"Marsha Blackburn (former TN-07, now TN senator)",1,,,,1,,,,,,1,,,,,,1,
C00704411,VOLUNTEER ISSUES PAC INC,Tim Burchett (TN-02),3,1,1,1,,,,,1,,,1,1,1,1,1,,1
C00652149,BURCHETT FOR CONGRESS,Tim Burchett (TN-02),3,1,1,1,,,,,1,,,1,1,1,1,1,,1
C00464073,FRIENDS OF SCOTT DESJARLAIS,Scott DesJarlais (TN-04),4,,,1,,1,1,1,1,1,1,,,1,1,1,1,1
C00513523,TN4UPAC,Scott DesJarlais (TN-04),4,,,1,,1,1,1,1,1,1,,,1,1,1,1,1
C00385377,ROAD TO VICTORY POLITICAL ACTION COMMITTEE,John Duncan (former TN-02),3,,,,1,1,,1,,,1,,,,,,1,
C00229104,DUNCAN FOR CONGRESS,John Duncan (former TN-02),3,,,,1,1,,1,,,1,,,,,,1,
C00466854,STEVE FINCHER FOR CONGRESS,Stephen Lee Fincher (former TN-08),3,,,,,1,1,1,,,,,,,,,,
C00504365,FUNDING REPUBLICANS SUPPORTING OPPORTUNITY AND GROWTH - JUMP POLITICAL ACTION COMMITTEE,Stephen Lee Fincher (former TN-08),3,,,,,1,1,1,,,,,,,,,,
